Primary Type,Description,Location,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
THEFT,OVER $500,HOTEL / MOTEL,FALSE,FALSE,234,2,4,41,6,1187174,1870653,2022,11-12-2022 15:46,41.80017577,-87.58910149,"(41.800175766, -87.589101486)"
THEFT,OVER $500,STREET,FALSE,FALSE,1925,19,44,6,6,1170777,1923173,2022,11-12-2022 15:46,41.94466832,-87.64769531,"(41.944668319, -87.647695308)"
THEFT,OVER $500,STREET,FALSE,FALSE,422,4,7,46,6,1196125,1853124,2022,11-12-2022 15:46,41.75185773,-87.55685661,"(41.751857729, -87.556856606)"
THEFT,OVER $500,HOTEL / MOTEL,FALSE,FALSE,1834,18,42,8,6,1176416,1903908,2022,10-11-2022 16:45,41.89167877,-87.62755165,"(41.891678767, -87.627551654)"
THEFT,OVER $500,CTA BUS,FALSE,FALSE,813,8,13,56,6,1146158,1864971,2022,11-12-2022 15:46,41.78545948,-87.73966442,"(41.785459483, -87.739664422)"
THEFT,OVER $500,STREET,FALSE,FALSE,313,3,20,42,6,1182620,1864479,2022,11-12-2022 15:46,41.78334076,-87.60599371,"(41.783340761, -87.605993706)"
THEFT,OVER $500,APARTMENT,FALSE,FALSE,632,6,6,44,6,1181250,1849779,2022,11-12-2022 15:46,41.74303413,-87.61146882,"(41.743034131, -87.61146882)"
THEFT,OVER $500,STREET,FALSE,FALSE,1412,14,35,21,6,1152539,1918728,2022,11-12-2022 15:46,41.93285165,-87.71484865,"(41.932851646, -87.714848648)"
THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,423,4,7,48,6,1194753,1844923,2022,11-12-2022 15:46,41.72938737,-87.56215356,"(41.729387368, -87.562153564)"
THEFT,OVER $500,APARTMENT,FALSE,TRUE,1023,10,28,29,6,1157887,1894128,2022,11-12-2022 15:46,41.86523957,-87.69586692,"(41.865239573, -87.695866917)"
THEFT,OVER $500,STREET,TRUE,FALSE,313,3,20,42,6,1182022,1864720,2022,11-12-2022 15:46,41.78401595,-87.6081787,"(41.784015947, -87.6081787)"
THEFT,OVER $500,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,FALSE,FALSE,813,8,23,56,6,1145654,1866253,2022,11-12-2022 15:46,41.78898704,-87.74147999,"(41.788987036, -87.74147999)"
THEFT,OVER $500,STREET,FALSE,FALSE,421,4,7,43,6,1194171,1855517,2022,11-12-2022 15:46,41.75847248,-87.56393855,"(41.758472475, -87.563938551)"
THEFT,OVER $500,RESTAURANT,FALSE,FALSE,1212,12,1,24,6,1162521,1907985,2022,11-12-2022 15:46,41.90316867,-87.67846717,"(41.903168666, -87.678467174)"
THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,123,1,4,32,6,1176908,1896967,2022,11-12-2022 15:46,41.87262116,-87.6259549,"(41.87262116, -87.625954897)"
THEFT,OVER $500,STREET,FALSE,FALSE,433,4,10,55,6,1196418,1821108,2022,11-12-2022 15:46,41.66399551,-87.55684085,"(41.663995506, -87.556840851)"
THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1224,12,27,28,6,1168440,1900674,2022,11-12-2022 15:46,41.88298074,-87.65693728,"(41.882980737, -87.65693728)"
THEFT,OVER $500,STREET,FALSE,FALSE,2515,25,30,19,6,1136632,1916210,2022,11-12-2022 15:46,41.92624198,-87.77336661,"(41.926241982, -87.773366607)"
THEFT,OVER $500,STREET,FALSE,FALSE,1234,12,25,31,6,1164488,1891436,2022,10-11-2022 16:45,41.85771542,-87.67171062,"(41.857715418, -87.671710623)"
THEFT,OVER $500,STREET,FALSE,FALSE,512,5,9,49,6,1179468,1834385,2022,11-12-2022 15:46,41.70083187,-87.61846646,"(41.700831868, -87.61846646)"
THEFT,OVER $500,RESTAURANT,FALSE,FALSE,124,1,25,28,6,1173062,1895889,2022,11-12-2022 15:46,41.86974916,-87.64010713,"(41.869749161, -87.640107132)"
THEFT,OVER $500,STREET,FALSE,FALSE,1423,14,26,24,6,1159852,1908071,2022,11-12-2022 15:46,41.90346015,-87.68826858,"(41.903460148, -87.688268581)"
THEFT,OVER $500,APARTMENT,FALSE,FALSE,1125,11,27,28,6,1159774,1899143,2022,11-12-2022 15:46,41.87896255,-87.68880143,"(41.878962554, -87.688801432)"
THEFT,OVER $500,STREET,FALSE,FALSE,2525,25,35,20,6,1148054,1913171,2022,10-11-2022 16:45,41.91769032,-87.73147407,"(41.917690324, -87.731474073)"
THEFT,OVER $500,STREET,FALSE,FALSE,815,8,14,57,6,1150346,1877572,2022,11-12-2022 15:46,41.81995811,-87.72398155,"(41.819958109, -87.723981548)"
THEFT,OVER $500,RESIDENCE - GARAGE,FALSE,FALSE,1411,14,33,21,6,1158285,1921163,2022,11-12-2022 15:46,41.93941777,-87.69366581,"(41.939417765, -87.693665808)"
THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2524,25,31,20,6,1146485,1915590,2022,11-12-2022 15:46,41.92435837,-87.73717691,"(41.924358366, -87.737176907)"
THEFT,OVER $500,RESTAURANT,FALSE,FALSE,124,1,11,28,6,1173314,1894672,2022,11-12-2022 15:46,41.86640404,-87.6392181,"(41.866404039, -87.639218102)"
THEFT,OVER $500,CTA TRAIN,FALSE,FALSE,1533,15,29,25,6,1144505,1896498,2022,11-12-2022 15:46,41.87200532,-87.74493347,"(41.872005323, -87.744933466)"
THEFT,OVER $500,SMALL RETAIL STORE,FALSE,FALSE,1834,18,42,8,6,1177337,1904048,2022,11-12-2022 15:46,41.8920421,-87.62416503,"(41.892042096, -87.624165033)"
THEFT,OVER $500,STREET,FALSE,FALSE,1921,19,47,5,6,1160716,1924221,2022,11-12-2022 15:46,41.94775897,-87.68464614,"(41.947758973, -87.684646136)"
THEFT,OVER $500,STREET,FALSE,FALSE,2422,24,49,1,6,1165155,1950465,2022,11-12-2022 15:46,42.01967997,-87.66757964,"(42.019679967, -87.667579643)"
THEFT,OVER $500,STREET,FALSE,FALSE,2234,22,34,75,6,1168375,1828804,2022,11-12-2022 15:46,41.68576218,-87.65924494,"(41.685762179, -87.659244944)"
THEFT,OVER $500,RESIDENCE,FALSE,TRUE,1012,10,24,29,6,1149356,1890665,2022,11-12-2022 15:46,41.85590624,-87.72727443,"(41.855906242, -87.727274434)"
THEFT,OVER $500,STREET,FALSE,FALSE,1622,16,45,11,6,1135521,1932570,2022,10-11-2022 16:45,41.97115535,-87.77705891,"(41.97115535, -87.777058907)"
THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,FALSE,FALSE,432,4,10,52,6,1202458,1840555,2022,11-12-2022 15:46,41.71720836,-87.53407738,"(41.717208357, -87.534077382)"
THEFT,OVER $500,RESIDENCE,FALSE,FALSE,2222,22,21,71,6,1168522,1846828,2022,11-12-2022 15:46,41.7352197,-87.65818946,"(41.735219696, -87.658189461)"
THEFT,OVER $500,APARTMENT,FALSE,TRUE,1031,10,22,30,6,1149199,1884076,2022,11-12-2022 15:46,41.83782822,-87.72802117,"(41.83782822, -87.728021173)"
THEFT,OVER $500,STREET,FALSE,FALSE,331,3,5,42,6,1190735,1861146,2022,11-12-2022 15:46,41.77400254,-87.57634943,"(41.774002542, -87.576349428)"
THEFT,OVER $500,APARTMENT,FALSE,TRUE,222,2,4,39,6,1183168,1871743,2022,11-12-2022 15:46,41.80326105,-87.60375856,"(41.803261053, -87.603758561)"
THEFT,OVER $500,ALLEY,FALSE,FALSE,622,6,21,44,6,1176581,1851270,2022,11-12-2022 15:46,41.74723182,-87.62853137,"(41.747231822, -87.628531366)"
THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1232,12,25,28,6,1168902,1899722,2022,11-12-2022 15:46,41.88035838,-87.65526843,"(41.880358375, -87.655268425)"
THEFT,OVER $500,RESIDENCE,FALSE,FALSE,1434,14,32,22,6,1160275,1912748,2022,11-12-2022 15:46,41.91628546,-87.68658527,"(41.916285455, -87.68658527)"
THEFT,OVER $500,STREET,FALSE,FALSE,2523,25,31,20,6,1146502,1920416,2022,11-12-2022 15:46,41.93760103,-87.7369911,"(41.937601033, -87.736991103)"
THEFT,OVER $500,STREET,FALSE,FALSE,233,2,5,41,6,1183457,1869424,2022,11-12-2022 15:46,41.79689079,-87.60277096,"(41.796890794, -87.602770958)"
THEFT,OVER $500,SCHOOL - PUBLIC BUILDING,FALSE,FALSE,2233,22,34,49,6,1174313,1830380,2022,11-12-2022 15:46,41.68995741,-87.63746062,"(41.68995741, -87.637460623)"
THEFT,OVER $500,RESIDENCE - GARAGE,FALSE,FALSE,1614,16,41,76,6,1117142,1936036,2022,11-12-2022 15:46,41.98097405,-87.84456942,"(41.980974046, -87.844569423)"
THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,331,3,5,41,6,1189729,1867390,2022,11-12-2022 15:46,41.79116079,-87.57983659,"(41.791160785, -87.579836586)"
THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,122,1,42,32,6,1174945,1900351,2022,11-12-2022 15:46,41.88195123,-87.63306051,"(41.881951231, -87.633060512)"
THEFT,OVER $500,APARTMENT,FALSE,FALSE,522,5,34,53,6,1176800,1828686,2022,10-11-2022 16:45,41.68525333,-87.62840644,"(41.685253328, -87.628406443)"
THEFT,OVER $500,APARTMENT,FALSE,FALSE,632,6,6,44,6,1183031,1849235,2022,11-12-2022 15:46,41.74150015,-87.6049601,"(41.741500152, -87.604960102)"
THEFT,OVER $500,APPLIANCE STORE,FALSE,FALSE,812,8,13,64,6,1136604,1862116,2022,11-12-2022 15:46,41.77780052,-87.77476247,"(41.777800524, -87.774762467)"
THEFT,OVER $500,SCHOOL - PUBLIC BUILDING,FALSE,FALSE,2213,22,19,72,6,1166298,1841546,2022,11-12-2022 15:46,41.72077267,-87.66648723,"(41.720772668, -87.666487228)"
THEFT,OVER $500,FACTORY / MANUFACTURING BUILDING,FALSE,FALSE,1532,15,28,25,6,1144065,1901845,2022,11-12-2022 15:46,41.88668641,-87.74641466,"(41.886686408, -87.746414659)"
THEFT,OVER $500,APARTMENT,FALSE,FALSE,1723,17,35,16,6,1152612,1928538,2022,11-12-2022 15:46,41.95976956,-87.71432002,"(41.959769563, -87.714320021)"
THEFT,OVER $500,SIDEWALK,FALSE,FALSE,1834,18,42,8,6,1176473,1905371,2022,10-11-2022 16:45,41.89569203,-87.62729811,"(41.895692026, -87.627298109)"
THEFT,OVER $500,APARTMENT,FALSE,TRUE,323,3,6,69,6,1181474,1857732,2022,11-12-2022 15:46,41.76485286,-87.61040322,"(41.764852858, -87.610403224)"
THEFT,OVER $500,RESTAURANT,FALSE,FALSE,122,1,42,32,6,1174369,1899091,2022,10-11-2022 16:45,41.87850659,-87.63521319,"(41.878506591, -87.635213191)"
THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1925,19,46,6,6,1172031,1924865,2022,10-11-2022 16:45,41.94928361,-87.64303608,"(41.949283608, -87.643036076)"
THEFT,OVER $500,STREET,FALSE,FALSE,1722,17,39,16,6,1148967,1927826,2022,10-11-2022 16:45,41.95788725,-87.72773929,"(41.957887254, -87.72773929)"
THEFT,OVER $500,STREET,FALSE,FALSE,2411,24,50,2,6,1156847,1945995,2022,11-12-2022 15:46,42.00758739,-87.69827433,"(42.007587394, -87.698274327)"
THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1722,17,39,16,6,1148735,1927607,2022,11-12-2022 15:46,41.9572908,-87.72859789,"(41.957290797, -87.72859789)"
THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1934,19,44,6,6,1171708,1920879,2022,11-12-2022 15:46,41.93835301,-87.64434114,"(41.938353011, -87.644341137)"
THEFT,OVER $500,RESIDENCE,FALSE,FALSE,211,2,4,35,6,1180708,1882808,2022,11-12-2022 15:46,41.83368122,-87.61243999,"(41.83368122, -87.612439993)"
THEFT,OVER $500,RESIDENCE,FALSE,FALSE,823,8,16,66,6,1156751,1864444,2022,10-11-2022 16:45,41.78380605,-87.70083944,"(41.783806047, -87.700839439)"
THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1221,12,27,24,6,1164020,1903119,2022,11-12-2022 15:46,41.88978446,-87.6730986,"(41.889784463, -87.673098599)"
