Primary Type,Beat
ASSAULT,414
CRIMINAL DAMAGE,2423
OTHER OFFENSE,2521
DECEPTIVE PRACTICE,1414
ASSAULT,1834
THEFT,321
ROBBERY,623
THEFT,1134
CRIMINAL DAMAGE,1231
MOTOR VEHICLE THEFT,233
THEFT,2533
THEFT,1915
ASSAULT,835
THEFT,1925
WEAPONS VIOLATION,1014
THEFT,1135
MOTOR VEHICLE THEFT,222
BURGLARY,213
BATTERY,813
THEFT,431
MOTOR VEHICLE THEFT,2022
BATTERY,722
BURGLARY,511
ASSAULT,712
CRIMINAL DAMAGE,1231
KIDNAPPING,2022
ASSAULT,2213
DECEPTIVE PRACTICE,122
BURGLARY,1122
THEFT,1231
DECEPTIVE PRACTICE,121
THEFT,735
ASSAULT,835
BATTERY,311
MOTOR VEHICLE THEFT,1014
WEAPONS VIOLATION,1134
BATTERY,1925
THEFT,1235
ASSAULT,1123
CRIMINAL TRESPASS,1424
THEFT,2521
OTHER OFFENSE,433
DECEPTIVE PRACTICE,2232
DECEPTIVE PRACTICE,1712
THEFT,632
BATTERY,223
BURGLARY,823
ASSAULT,823
OTHER OFFENSE,232
THEFT,124
CRIMINAL DAMAGE,2424
THEFT,1613
MOTOR VEHICLE THEFT,1834
BATTERY,123
CRIMINAL DAMAGE,723
DECEPTIVE PRACTICE,321
DECEPTIVE PRACTICE,1522
ASSAULT,422
THEFT,123
THEFT,735
OTHER OFFENSE,312
CRIMINAL TRESPASS,1913
CRIMINAL DAMAGE,212
THEFT,414
MOTOR VEHICLE THEFT,114
ASSAULT,732
ASSAULT,1124
BATTERY,432
THEFT,1732
BATTERY,423
BATTERY,2433
ASSAULT,123
DECEPTIVE PRACTICE,1832
CRIMINAL TRESPASS,611
DECEPTIVE PRACTICE,1833
BATTERY,1935
WEAPONS VIOLATION,331
OTHER OFFENSE,132
DECEPTIVE PRACTICE,222
OTHER OFFENSE,1653
CRIMINAL DAMAGE,2223
THEFT,1713
THEFT,1822
SEX OFFENSE,123
ASSAULT,322
CRIMINAL DAMAGE,133
INTERFERENCE WITH PUBLIC OFFICER,1733
NARCOTICS,1121
DECEPTIVE PRACTICE,114
BATTERY,2533
THEFT,2221
CRIMINAL DAMAGE,1023
CRIMINAL DAMAGE,831
THEFT,531
DECEPTIVE PRACTICE,1622
BATTERY,2023
ASSAULT,2234
THEFT,1131
DECEPTIVE PRACTICE,235
BATTERY,733
BATTERY,734
ASSAULT,324
CRIMINAL DAMAGE,612
WEAPONS VIOLATION,313
DECEPTIVE PRACTICE,1234
ASSAULT,213
BATTERY,1231
DECEPTIVE PRACTICE,235
THEFT,833
BATTERY,1223
ASSAULT,813
OTHER OFFENSE,333
BATTERY,815
THEFT,2234
OTHER OFFENSE,823
THEFT,111
DECEPTIVE PRACTICE,2412
ASSAULT,1511
ASSAULT,711
THEFT,124
ASSAULT,1113
THEFT,1833
CRIMINAL DAMAGE,631
CRIMINAL DAMAGE,2432
NARCOTICS,1732
THEFT,832
ROBBERY,112
CRIMINAL DAMAGE,925
OTHER OFFENSE,1411
THEFT,923
THEFT,321
ASSAULT,724
CRIMINAL DAMAGE,323
BATTERY,2232
NARCOTICS,412
OFFENSE INVOLVING CHILDREN,824
DECEPTIVE PRACTICE,1232
CRIMINAL DAMAGE,1722
THEFT,1633
THEFT,122
BATTERY,131
ASSAULT,512
DECEPTIVE PRACTICE,2523
ASSAULT,731
THEFT,1824
DECEPTIVE PRACTICE,1623
CRIMINAL DAMAGE,924
DECEPTIVE PRACTICE,1533
THEFT,1031
DECEPTIVE PRACTICE,1434
DECEPTIVE PRACTICE,232
THEFT,1113
THEFT,822
ASSAULT,834
DECEPTIVE PRACTICE,1922
THEFT,2433
OTHER OFFENSE,522
THEFT,332
THEFT,111
BURGLARY,1221
BATTERY,2521
ASSAULT,1915
MOTOR VEHICLE THEFT,2232
BATTERY,1123
CRIMINAL DAMAGE,2413
ASSAULT,632
OTHER OFFENSE,933
NARCOTICS,1132
THEFT,1424
THEFT,424
THEFT,1633
DECEPTIVE PRACTICE,235
BURGLARY,1221
BURGLARY,1221
OTHER OFFENSE,221
THEFT,1234
BATTERY,223
MOTOR VEHICLE THEFT,1225
THEFT,1114
THEFT,2011
BATTERY,2422
BATTERY,313
CRIMINAL DAMAGE,512
CRIMINAL TRESPASS,1011
THEFT,1833
THEFT,2512
BATTERY,1931
THEFT,1031
ASSAULT,1222
THEFT,1834
THEFT,314
DECEPTIVE PRACTICE,2213
THEFT,1832
THEFT,434
MOTOR VEHICLE THEFT,424
THEFT,112
MOTOR VEHICLE THEFT,431
BATTERY,733
THEFT,614
ASSAULT,423
THEFT,1624
SEX OFFENSE,1113
CRIMINAL SEXUAL ASSAULT,2013
DECEPTIVE PRACTICE,1834
THEFT,1233
THEFT,922
THEFT,1834
SEX OFFENSE,1123
ROBBERY,1431
BURGLARY,1114
BATTERY,1215
DECEPTIVE PRACTICE,631
THEFT,1933
CRIMINAL DAMAGE,324
BURGLARY,913
THEFT,1034
BATTERY,624
THEFT,723
CRIMINAL DAMAGE,522
DECEPTIVE PRACTICE,811
CRIMINAL DAMAGE,833
THEFT,612
THEFT,212
BATTERY,833
THEFT,1833
ASSAULT,225
ASSAULT,1413
MOTOR VEHICLE THEFT,312
OFFENSE INVOLVING CHILDREN,714
THEFT,2422
CRIMINAL DAMAGE,1032
THEFT,634
THEFT,633
BATTERY,414
BATTERY,831
THEFT,1915
NARCOTICS,1132
THEFT,1622
THEFT,1433
ASSAULT,1224
BATTERY,311
DECEPTIVE PRACTICE,1925
ASSAULT,211
THEFT,835
ASSAULT,2533
DECEPTIVE PRACTICE,1411
BATTERY,823
DECEPTIVE PRACTICE,2512
THEFT,132
ASSAULT,632
THEFT,1113
WEAPONS VIOLATION,634
BATTERY,2532
BATTERY,1632
THEFT,1034
THEFT,1723
CRIMINAL TRESPASS,1413
ASSAULT,1134
OTHER OFFENSE,914
THEFT,815
BATTERY,1434
THEFT,2514
ASSAULT,1423
CRIMINAL DAMAGE,931
BATTERY,1234
CRIMINAL DAMAGE,1822
ASSAULT,1913
BATTERY,1121
OTHER OFFENSE,921
ASSAULT,211
THEFT,924
BATTERY,225
BATTERY,1224
THEFT,1833
CRIMINAL DAMAGE,331
THEFT,633
DECEPTIVE PRACTICE,431
THEFT,1621
CRIMINAL DAMAGE,1622
MOTOR VEHICLE THEFT,1921
THEFT,1921
THEFT,1634
THEFT,624
CRIMINAL DAMAGE,724
MOTOR VEHICLE THEFT,223
ASSAULT,1925
WEAPONS VIOLATION,1814
BATTERY,735
BURGLARY,1712
THEFT,1223
THEFT,2012
OTHER OFFENSE,614
CRIMINAL DAMAGE,2022
THEFT,1431
ASSAULT,2523
THEFT,1021
MOTOR VEHICLE THEFT,314
CRIMINAL DAMAGE,433
MOTOR VEHICLE THEFT,1113
BATTERY,421
DECEPTIVE PRACTICE,421
BATTERY,2023
DECEPTIVE PRACTICE,1914
BATTERY,2023
WEAPONS VIOLATION,1814
ASSAULT,2533
ASSAULT,911
STALKING,1224
ROBBERY,221
THEFT,334
CRIMINAL DAMAGE,224
CRIMINAL DAMAGE,1234
MOTOR VEHICLE THEFT,2213
CRIMINAL DAMAGE,831
BATTERY,533
DECEPTIVE PRACTICE,1935
CRIMINAL DAMAGE,411
DECEPTIVE PRACTICE,122
THEFT,2024
ASSAULT,2515
THEFT,1513
MOTOR VEHICLE THEFT,623
CRIMINAL DAMAGE,2212
BATTERY,1224
THEFT,1225
THEFT,221
THEFT,2512
THEFT,1431
BATTERY,324
THEFT,1024
THEFT,632
OTHER OFFENSE,2023
MOTOR VEHICLE THEFT,1832
BATTERY,511
BATTERY,1432
ROBBERY,1831
THEFT,1724
THEFT,1834
CRIMINAL DAMAGE,1621
THEFT,2533
CRIMINAL DAMAGE,1914
DECEPTIVE PRACTICE,813
CRIMINAL DAMAGE,1934
THEFT,1833
BATTERY,614
CRIMINAL DAMAGE,913
THEFT,1935
BATTERY,915
THEFT,1533
THEFT,1832
THEFT,1834
CRIMINAL TRESPASS,1524
OTHER OFFENSE,632
ASSAULT,1222
OTHER OFFENSE,1123
ASSAULT,822
THEFT,2011
CRIMINAL SEXUAL ASSAULT,1121
MOTOR VEHICLE THEFT,2222
DECEPTIVE PRACTICE,1935
THEFT,922
BURGLARY,913
BURGLARY,824
THEFT,421
OTHER OFFENSE,2521
NARCOTICS,1531
WEAPONS VIOLATION,1124
THEFT,111
ASSAULT,2221
THEFT,523
BATTERY,2413
WEAPONS VIOLATION,531
OTHER OFFENSE,1223
BATTERY,1513
BATTERY,632
MOTOR VEHICLE THEFT,1935
BATTERY,522
ASSAULT,731
BATTERY,2024
THEFT,123
BATTERY,813
ASSAULT,1834
WEAPONS VIOLATION,1032
DECEPTIVE PRACTICE,1915
WEAPONS VIOLATION,1132
BATTERY,925
OTHER OFFENSE,322
BATTERY,823
NARCOTICS,1011
BATTERY,1225
THEFT,2422
ROBBERY,422
ASSAULT,123
CRIMINAL DAMAGE,2433
BATTERY,2422
THEFT,1631
MOTOR VEHICLE THEFT,624
THEFT,234
THEFT,1822
THEFT,233
THEFT,224
CRIMINAL TRESPASS,1832
BATTERY,433
OFFENSE INVOLVING CHILDREN,1421
BATTERY,231
BATTERY,215
MOTOR VEHICLE THEFT,1931
BATTERY,2532
WEAPONS VIOLATION,2523
CRIMINAL DAMAGE,1021
BURGLARY,1712
OTHER OFFENSE,2521
BATTERY,314
BATTERY,1934
BATTERY,1831
THEFT,1925
CRIMINAL DAMAGE,1925
BATTERY,1225
THEFT,2433
ASSAULT,214
MOTOR VEHICLE THEFT,2221
THEFT,2424
THEFT,2423
THEFT,133
DECEPTIVE PRACTICE,1654
BURGLARY,831
BATTERY,1711
MOTOR VEHICLE THEFT,212
OTHER OFFENSE,1133
CRIMINAL DAMAGE,214
BATTERY,422
ASSAULT,1724
DECEPTIVE PRACTICE,1914
ASSAULT,622
BATTERY,1623
CRIMINAL DAMAGE,133
BATTERY,2222
OTHER OFFENSE,922
THEFT,725
THEFT,2022
THEFT,1024
THEFT,211
WEAPONS VIOLATION,925
CRIMINAL DAMAGE,1633
BATTERY,1814
OTHER OFFENSE,1422
ROBBERY,812
THEFT,123
BURGLARY,1814
BATTERY,112
MOTOR VEHICLE THEFT,131
CRIMINAL DAMAGE,922
BURGLARY,234
BATTERY,1131
MOTOR VEHICLE THEFT,1414
THEFT,1231
BATTERY,923
MOTOR VEHICLE THEFT,2024
ROBBERY,1912
ROBBERY,111
OFFENSE INVOLVING CHILDREN,1523
CRIMINAL DAMAGE,1224
WEAPONS VIOLATION,324
OTHER OFFENSE,1231
CRIMINAL TRESPASS,324
BURGLARY,822
ASSAULT,1533
MOTOR VEHICLE THEFT,832
THEFT,1934
ASSAULT,623
CRIMINAL DAMAGE,314
WEAPONS VIOLATION,732
BATTERY,212
THEFT,1131
MOTOR VEHICLE THEFT,432
THEFT,1122
BATTERY,921
MOTOR VEHICLE THEFT,835
CRIMINAL DAMAGE,834
BATTERY,1231
ASSAULT,913
BATTERY,1131
ROBBERY,822
OTHER OFFENSE,732
PUBLIC PEACE VIOLATION,1814
ARSON,1524
ASSAULT,2223
THEFT,915
BATTERY,915
BATTERY,1913
ROBBERY,1112
MOTOR VEHICLE THEFT,511
CRIMINAL DAMAGE,1134
CRIMINAL DAMAGE,812
LIQUOR LAW VIOLATION,131
THEFT,631
ARSON,1022
CRIMINAL DAMAGE,1133
BURGLARY,112
DECEPTIVE PRACTICE,1711
DECEPTIVE PRACTICE,123
OTHER OFFENSE,331
DECEPTIVE PRACTICE,1933
THEFT,2223
DECEPTIVE PRACTICE,533
OTHER OFFENSE,612
THEFT,1813
BATTERY,1112
CRIMINAL DAMAGE,1421
BURGLARY,533
ASSAULT,533
CRIMINAL SEXUAL ASSAULT,2233
BATTERY,2525
OTHER OFFENSE,1033
CRIMINAL TRESPASS,1235
BATTERY,832
THEFT,1912
THEFT,1623
THEFT,1814
CRIMINAL DAMAGE,1524
THEFT,1134
THEFT,1915
DECEPTIVE PRACTICE,1433
THEFT,1533
CRIMINAL DAMAGE,713
DECEPTIVE PRACTICE,732
CRIMINAL DAMAGE,1834
THEFT,1234
THEFT,1224
THEFT,222
THEFT,825
OTHER OFFENSE,1531
THEFT,611
DECEPTIVE PRACTICE,2512
DECEPTIVE PRACTICE,413
DECEPTIVE PRACTICE,614
DECEPTIVE PRACTICE,1621
DECEPTIVE PRACTICE,2532
ASSAULT,1433
CRIMINAL DAMAGE,533
THEFT,321
DECEPTIVE PRACTICE,2212
CRIMINAL DAMAGE,922
THEFT,1123
THEFT,1424
BURGLARY,1224
ROBBERY,1214
WEAPONS VIOLATION,913
BATTERY,1024
BATTERY,2232
THEFT,2515
BATTERY,1122
CRIMINAL DAMAGE,1021
THEFT,631
ROBBERY,114
CRIMINAL DAMAGE,923
ROBBERY,321
ROBBERY,1214
OTHER OFFENSE,224
BATTERY,123
ROBBERY,1214
BATTERY,1214
BATTERY,832
ROBBERY,1834
THEFT,1912
OTHER OFFENSE,211
ASSAULT,513
HOMICIDE,713
CRIMINAL SEXUAL ASSAULT,1925
BATTERY,831
THEFT,1924
BATTERY,421
THEFT,924
CRIMINAL DAMAGE,1831
THEFT,531
CRIMINAL DAMAGE,311
CRIMINAL DAMAGE,2221
THEFT,421
ASSAULT,1231
BATTERY,623
BATTERY,331
OTHER OFFENSE,1915
CRIMINAL DAMAGE,1924
THEFT,533
BATTERY,314
CRIMINAL DAMAGE,1932
ROBBERY,1914
MOTOR VEHICLE THEFT,1231
BATTERY,2033
ASSAULT,632
ROBBERY,914
OTHER OFFENSE,1624
BURGLARY,713
BATTERY,324
MOTOR VEHICLE THEFT,632
ASSAULT,424
SEX OFFENSE,1634
THEFT,712
BURGLARY,1632
CRIMINAL DAMAGE,1812
BATTERY,114
BATTERY,713
ROBBERY,1925
MOTOR VEHICLE THEFT,1533
BATTERY,1011
BATTERY,511
CRIMINAL DAMAGE,113
CRIMINAL DAMAGE,1531
BATTERY,334
BATTERY,424
PUBLIC PEACE VIOLATION,1223
BATTERY,1011
CRIMINAL DAMAGE,1034
ROBBERY,833
BATTERY,424
BURGLARY,1125
BURGLARY,1934
ROBBERY,1212
BATTERY,2234
OTHER OFFENSE,2535
ROBBERY,1234
THEFT,1651
ROBBERY,912
ROBBERY,911
BATTERY,424
ROBBERY,1235
CRIMINAL DAMAGE,2532
BATTERY,421
CRIMINAL DAMAGE,421
CRIMINAL DAMAGE,513
THEFT,1233
THEFT,912
CRIMINAL DAMAGE,2223
CRIMINAL DAMAGE,1234
BATTERY,1131
THEFT,1431
BATTERY,1022
BURGLARY,1112
OFFENSE INVOLVING CHILDREN,822
BURGLARY,2234
THEFT,922
ASSAULT,1111
BURGLARY,1034
THEFT,2514
BATTERY,314
THEFT,131
BATTERY,731
MOTOR VEHICLE THEFT,633
THEFT,1713
CRIMINAL DAMAGE,1231
ASSAULT,324
MOTOR VEHICLE THEFT,624
MOTOR VEHICLE THEFT,1223
DECEPTIVE PRACTICE,423
THEFT,1031
CRIMINAL TRESPASS,1652
CRIMINAL DAMAGE,2534
CRIMINAL DAMAGE,624
BATTERY,631
THEFT,1434
THEFT,2422
ASSAULT,234
CRIMINAL DAMAGE,2514
ASSAULT,1824
ASSAULT,312
CRIMINAL DAMAGE,214
SEX OFFENSE,1834
THEFT,1224
WEAPONS VIOLATION,2512
CRIMINAL DAMAGE,131
THEFT,214
BURGLARY,511
THEFT,212
THEFT,1132
THEFT,1611
MOTOR VEHICLE THEFT,1124
THEFT,2032
BATTERY,1021
THEFT,1931
MOTOR VEHICLE THEFT,524
THEFT,215
BURGLARY,1421
CRIMINAL DAMAGE,421
THEFT,1622
ROBBERY,832
THEFT,725
THEFT,2422
DECEPTIVE PRACTICE,1711
THEFT,2424
DECEPTIVE PRACTICE,531
BATTERY,623
ASSAULT,522
DECEPTIVE PRACTICE,2521
THEFT,1235
BATTERY,614
BATTERY,2212
OTHER OFFENSE,411
CRIMINAL DAMAGE,2411
THEFT,913
DECEPTIVE PRACTICE,1831
THEFT,133
BURGLARY,2412
OTHER OFFENSE,214
OTHER OFFENSE,1935
THEFT,2211
THEFT,1225
CRIMINAL DAMAGE,611
DECEPTIVE PRACTICE,1623
THEFT,823
THEFT,935
DECEPTIVE PRACTICE,611
BURGLARY,321
THEFT,622
THEFT,2011
BATTERY,421
BATTERY,2413
NARCOTICS,912
ASSAULT,2223
MOTOR VEHICLE THEFT,324
ASSAULT,1023
THEFT,323
ASSAULT,2223
THEFT,725
THEFT,813
BURGLARY,1831
MOTOR VEHICLE THEFT,2212
OTHER OFFENSE,1125
CRIMINAL DAMAGE,1922
CRIMINAL TRESPASS,524
THEFT,235
WEAPONS VIOLATION,2534
DECEPTIVE PRACTICE,1022
BATTERY,222
ASSAULT,1622
DECEPTIVE PRACTICE,1925
ASSAULT,1011
THEFT,612
THEFT,1414
THEFT,2422
DECEPTIVE PRACTICE,835
CRIMINAL DAMAGE,2012
THEFT,1524
CRIMINAL DAMAGE,915
CRIMINAL TRESPASS,1421
DECEPTIVE PRACTICE,1923
OTHER OFFENSE,1631
THEFT,413
OTHER OFFENSE,1223
THEFT,813
THEFT,2523
ASSAULT,922
ASSAULT,2533
BURGLARY,1722
MOTOR VEHICLE THEFT,614
ASSAULT,513
NARCOTICS,1115
CRIMINAL DAMAGE,1221
THEFT,712
CRIMINAL DAMAGE,2023
OTHER OFFENSE,2412
THEFT,924
WEAPONS VIOLATION,313
ROBBERY,523
DECEPTIVE PRACTICE,1233
BATTERY,1122
THEFT,1132
ASSAULT,1831
THEFT,1722
THEFT,2213
THEFT,1431
THEFT,1224
MOTOR VEHICLE THEFT,413
CRIMINAL TRESPASS,2511
BATTERY,823
CRIMINAL DAMAGE,1831
INTERFERENCE WITH PUBLIC OFFICER,1132
OTHER OFFENSE,1623
BATTERY,623
BATTERY,112
BATTERY,1921
CRIMINAL TRESPASS,2511
BATTERY,931
NARCOTICS,221
WEAPONS VIOLATION,332
THEFT,111
BATTERY,2433
DECEPTIVE PRACTICE,132
ASSAULT,2532
ASSAULT,1233
THEFT,1512
CRIMINAL DAMAGE,1221
BATTERY,2532
OFFENSE INVOLVING CHILDREN,2535
DECEPTIVE PRACTICE,834
CRIMINAL DAMAGE,533
DECEPTIVE PRACTICE,1911
THEFT,2011
DECEPTIVE PRACTICE,1612
THEFT,2033
MOTOR VEHICLE THEFT,311
DECEPTIVE PRACTICE,2513
OTHER OFFENSE,1724
ASSAULT,1722
BATTERY,2232
ASSAULT,1434
BATTERY,2211
OTHER OFFENSE,324
DECEPTIVE PRACTICE,513
OTHER OFFENSE,231
DECEPTIVE PRACTICE,1924
MOTOR VEHICLE THEFT,712
BATTERY,2234
NARCOTICS,1123
MOTOR VEHICLE THEFT,815
BURGLARY,624
THEFT,2532
WEAPONS VIOLATION,1033
ROBBERY,2535
THEFT,2223
MOTOR VEHICLE THEFT,623
CRIMINAL DAMAGE,531
THEFT,133
THEFT,921
OTHER OFFENSE,933
MOTOR VEHICLE THEFT,735
DECEPTIVE PRACTICE,1131
DECEPTIVE PRACTICE,932
ASSAULT,1632
THEFT,312
CRIMINAL DAMAGE,2432
BATTERY,2532
MOTOR VEHICLE THEFT,1522
OTHER OFFENSE,232
THEFT,2023
THEFT,1611
DECEPTIVE PRACTICE,1833
BATTERY,1214
BATTERY,215
CRIMINAL DAMAGE,222
ASSAULT,2234
BATTERY,2424
THEFT,924
CRIMINAL DAMAGE,121
BURGLARY,612
OFFENSE INVOLVING CHILDREN,511
ASSAULT,2523
CRIMINAL TRESPASS,1231
ASSAULT,422
THEFT,112
DECEPTIVE PRACTICE,814
THEFT,113
ASSAULT,2023
BATTERY,222
ASSAULT,421
THEFT,2422
THEFT,2213
THEFT,2222
THEFT,122
DECEPTIVE PRACTICE,1624
MOTOR VEHICLE THEFT,1215
STALKING,231
OTHER OFFENSE,813
BURGLARY,334
ASSAULT,2413
ASSAULT,511
OTHER OFFENSE,911
BATTERY,713
ROBBERY,632
BATTERY,1023
ASSAULT,432
ASSAULT,1834
THEFT,711
THEFT,524
CRIMINAL DAMAGE,1932
ASSAULT,323
THEFT,631
BATTERY,1511
THEFT,434
ROBBERY,331
CRIMINAL DAMAGE,1412
THEFT,321
WEAPONS VIOLATION,1113
MOTOR VEHICLE THEFT,1733
MOTOR VEHICLE THEFT,1121
THEFT,1931
OTHER OFFENSE,821
CRIMINAL DAMAGE,1522
THEFT,614
ASSAULT,1413
THEFT,1931
THEFT,833
DECEPTIVE PRACTICE,2533
THEFT,321
THEFT,122
THEFT,123
BATTERY,724
ASSAULT,414
THEFT,1831
THEFT,1834
THEFT,2521
BATTERY,931
MOTOR VEHICLE THEFT,1823
THEFT,1915
ASSAULT,314
ASSAULT,2222
BURGLARY,2012
BATTERY,1221
BATTERY,821
ASSAULT,634
BATTERY,2033
CRIMINAL SEXUAL ASSAULT,1915
ROBBERY,1133
CRIMINAL DAMAGE,1011
CRIMINAL DAMAGE,1613
CRIMINAL DAMAGE,611
ASSAULT,1731
CRIMINAL DAMAGE,611
THEFT,112
ASSAULT,1923
BATTERY,723
ASSAULT,1021
CRIMINAL DAMAGE,623
BURGLARY,921
BATTERY,1611
THEFT,2033
THEFT,1414
BATTERY,2222
THEFT,2412
THEFT,133
WEAPONS VIOLATION,1133
CRIMINAL DAMAGE,1623
BATTERY,2012
MOTOR VEHICLE THEFT,123
WEAPONS VIOLATION,921
WEAPONS VIOLATION,823
CRIMINAL DAMAGE,921
CRIMINAL DAMAGE,513
CRIMINAL DAMAGE,823
CRIMINAL DAMAGE,823
NARCOTICS,2411
THEFT,1832
ASSAULT,1412
THEFT,122
ASSAULT,1433
DECEPTIVE PRACTICE,1612
CRIMINAL DAMAGE,414
DECEPTIVE PRACTICE,711
THEFT,2412
DECEPTIVE PRACTICE,1834
CRIMINAL DAMAGE,623
MOTOR VEHICLE THEFT,1022
ASSAULT,2521
CRIMINAL DAMAGE,832
MOTOR VEHICLE THEFT,211
THEFT,622
THEFT,811
DECEPTIVE PRACTICE,623
CRIMINAL DAMAGE,1824
CRIMINAL TRESPASS,1653
ASSAULT,2534
THEFT,1114
THEFT,2422
THEFT,1215
SEX OFFENSE,1713
ROBBERY,323
CRIMINAL DAMAGE,1424
BATTERY,422
WEAPONS VIOLATION,1112
THEFT,122
NARCOTICS,912
THEFT,1135
CRIMINAL DAMAGE,634
ASSAULT,2212
THEFT,914
THEFT,731
BATTERY,2521
THEFT,1213
THEFT,121
THEFT,1731
BATTERY,331
MOTOR VEHICLE THEFT,222
THEFT,1422
CRIMINAL DAMAGE,2234
OTHER OFFENSE,1731
BATTERY,211
THEFT,2535
THEFT,2512
THEFT,1935
THEFT,1911
CRIMINAL DAMAGE,224
ASSAULT,924
ASSAULT,413
CRIMINAL DAMAGE,1133
BATTERY,1111
THEFT,1831
ASSAULT,1233
THEFT,2411
THEFT,1831
THEFT,122
BATTERY,322
ASSAULT,1834
CRIMINAL DAMAGE,222
PROSTITUTION,1131
THEFT,324
ASSAULT,1613
THEFT,1424
CRIMINAL DAMAGE,1914
PROSTITUTION,1131
OTHER OFFENSE,2512
CRIMINAL DAMAGE,412
BATTERY,412
THEFT,2023
BURGLARY,1212
SEX OFFENSE,211
CRIMINAL DAMAGE,321
MOTOR VEHICLE THEFT,2532
OTHER OFFENSE,1511
MOTOR VEHICLE THEFT,1214
ASSAULT,832
CRIMINAL DAMAGE,815
CRIMINAL DAMAGE,1114
ROBBERY,2223
OBSCENITY,2221
CRIMINAL DAMAGE,1934
THEFT,624
BATTERY,1934
PROSTITUTION,1131
THEFT,1925
BATTERY,1925
MOTOR VEHICLE THEFT,1524
THEFT,1935
OTHER OFFENSE,833
THEFT,2023
SEX OFFENSE,1623
WEAPONS VIOLATION,1524
BATTERY,413
ASSAULT,1233
BATTERY,1922
BATTERY,511
BATTERY,2412
BATTERY,2515
THEFT,1424
ASSAULT,2234
THEFT,1231
THEFT,732
THEFT,811
ROBBERY,2022
THEFT,2411
BURGLARY,2013
ASSAULT,831
CRIMINAL DAMAGE,234
CRIMINAL TRESPASS,2011
THEFT,1235
THEFT,222
OFFENSE INVOLVING CHILDREN,822
THEFT,1931
ASSAULT,313
WEAPONS VIOLATION,421
ASSAULT,2023
WEAPONS VIOLATION,713
ASSAULT,2534
THEFT,1813
BATTERY,722
THEFT,1814
THEFT,1234
OTHER OFFENSE,1421
ASSAULT,1421
BATTERY,433
BATTERY,513
ASSAULT,2512
ASSAULT,915
THEFT,1632
ASSAULT,912
NARCOTICS,1422
DECEPTIVE PRACTICE,1921
OTHER OFFENSE,1632
MOTOR VEHICLE THEFT,222
BATTERY,1915
BATTERY,821
OTHER OFFENSE,421
BATTERY,1231
OTHER OFFENSE,825
MOTOR VEHICLE THEFT,813
THEFT,833
ASSAULT,511
THEFT,633
THEFT,413
THEFT,1923
CRIMINAL DAMAGE,133
BATTERY,1113
MOTOR VEHICLE THEFT,1232
THEFT,713
WEAPONS VIOLATION,633
THEFT,314
MOTOR VEHICLE THEFT,1014
ASSAULT,1834
WEAPONS VIOLATION,632
WEAPONS VIOLATION,212
ASSAULT,1533
MOTOR VEHICLE THEFT,632
BATTERY,314
BATTERY,2013
MOTOR VEHICLE THEFT,2433
THEFT,1834
BATTERY,433
BATTERY,1821
ASSAULT,1034
ROBBERY,1821
CRIMINAL DAMAGE,222
ASSAULT,133
MOTOR VEHICLE THEFT,332
CRIMINAL TRESPASS,323
THEFT,1424
BATTERY,621
ROBBERY,1211
BATTERY,2534
WEAPONS VIOLATION,223
THEFT,2422
WEAPONS VIOLATION,1512
CRIMINAL DAMAGE,2223
MOTOR VEHICLE THEFT,522
MOTOR VEHICLE THEFT,314
THEFT,1412
CRIMINAL DAMAGE,234
BATTERY,1831
MOTOR VEHICLE THEFT,424
THEFT,524
CRIMINAL DAMAGE,531
CRIMINAL SEXUAL ASSAULT,712
CRIMINAL DAMAGE,531
BURGLARY,2223
BATTERY,2422
OTHER OFFENSE,1712
ASSAULT,2411
BATTERY,2433
WEAPONS VIOLATION,321
THEFT,2521
THEFT,813
ASSAULT,933
ROBBERY,1931
BATTERY,1215
OTHER OFFENSE,2223
BATTERY,833
THEFT,1931
CRIMINAL DAMAGE,2023
ASSAULT,2221
ROBBERY,123
PUBLIC PEACE VIOLATION,2522
BATTERY,313
BATTERY,1135
BURGLARY,732
CRIMINAL TRESPASS,331
BATTERY,1233
THEFT,533
THEFT,1215
THEFT,1213
MOTOR VEHICLE THEFT,1133
BATTERY,1234
THEFT,322
MOTOR VEHICLE THEFT,631
ASSAULT,1712
THEFT,1434
OTHER OFFENSE,2223
THEFT,811
BATTERY,322
BATTERY,2022
BURGLARY,1622
BATTERY,1623
OTHER OFFENSE,733
THEFT,913
MOTOR VEHICLE THEFT,524
BATTERY,821
OTHER OFFENSE,732
OTHER OFFENSE,1134
BATTERY,2211
THEFT,1135
OTHER OFFENSE,632
ASSAULT,921
OTHER OFFENSE,423
THEFT,623
BATTERY,1121
BATTERY,1623
CRIMINAL DAMAGE,324
ASSAULT,523
BATTERY,513
CRIMINAL DAMAGE,2023
BATTERY,923
OTHER OFFENSE,1723
BATTERY,511
CRIMINAL DAMAGE,1424
DECEPTIVE PRACTICE,1654
ASSAULT,1123
DECEPTIVE PRACTICE,2412
THEFT,1633
CRIMINAL DAMAGE,2432
BATTERY,323
ROBBERY,1131
THEFT,223
CRIMINAL DAMAGE,2413
CRIMINAL DAMAGE,1611
THEFT,1915
BATTERY,1824
DECEPTIVE PRACTICE,131
THEFT,322
NARCOTICS,1233
OFFENSE INVOLVING CHILDREN,1713
THEFT,1915
THEFT,2433
OTHER OFFENSE,1034
THEFT,2511
SEX OFFENSE,1823
DECEPTIVE PRACTICE,613
