Primary Type,Beat
CRIMINAL DAMAGE,725
BATTERY,1522
BATTERY,2222
BATTERY,322
CRIMINAL DAMAGE,2522
BATTERY,914
ASSAULT,1532
BATTERY,424
BATTERY,1533
BURGLARY,821
BATTERY,333
THEFT,412
ARSON,214
BATTERY,1132
CRIMINAL DAMAGE,423
CRIMINAL DAMAGE,924
OTHER OFFENSE,1224
HOMICIDE,713
CRIMINAL DAMAGE,834
CRIMINAL DAMAGE,612
ASSAULT,523
ASSAULT,822
CRIMINAL DAMAGE,932
BATTERY,2212
BURGLARY,914
WEAPONS VIOLATION,231
BATTERY,1723
ASSAULT,611
BATTERY,934
WEAPONS VIOLATION,932
CRIMINAL DAMAGE,2024
SEX OFFENSE,1124
CRIMINAL DAMAGE,511
THEFT,1935
THEFT,1922
MOTOR VEHICLE THEFT,531
BATTERY,321
ASSAULT,422
ASSAULT,332
BATTERY,725
ROBBERY,1224
ASSAULT,621
DECEPTIVE PRACTICE,735
OTHER OFFENSE,2011
CRIMINAL DAMAGE,1133
BATTERY,1234
DECEPTIVE PRACTICE,2232
THEFT,532
THEFT,533
DECEPTIVE PRACTICE,933
THEFT,715
OTHER OFFENSE,1133
DECEPTIVE PRACTICE,2534
DECEPTIVE PRACTICE,1132
CRIMINAL SEXUAL ASSAULT,1133
DECEPTIVE PRACTICE,712
ASSAULT,1511
BATTERY,223
ASSAULT,631
THEFT,1221
THEFT,1013
DECEPTIVE PRACTICE,1112
THEFT,121
OTHER OFFENSE,414
OFFENSE INVOLVING CHILDREN,2532
THEFT,322
THEFT,1212
MOTOR VEHICLE THEFT,124
MOTOR VEHICLE THEFT,1651
DECEPTIVE PRACTICE,333
THEFT,332
DECEPTIVE PRACTICE,2432
DECEPTIVE PRACTICE,412
THEFT,322
ASSAULT,1121
DECEPTIVE PRACTICE,731
DECEPTIVE PRACTICE,412
DECEPTIVE PRACTICE,1634
ASSAULT,1113
BATTERY,821
CRIMINAL TRESPASS,812
HOMICIDE,1112
THEFT,613
WEAPONS VIOLATION,725
OFFENSE INVOLVING CHILDREN,1431
ASSAULT,424
CRIMINAL SEXUAL ASSAULT,1431
OTHER OFFENSE,1031
CRIMINAL DAMAGE,1013
THEFT,815
BATTERY,522
BURGLARY,2432
CRIMINAL DAMAGE,612
OFFENSE INVOLVING CHILDREN,1723
OTHER OFFENSE,1011
OTHER OFFENSE,333
OFFENSE INVOLVING CHILDREN,714
OTHER OFFENSE,1421
BATTERY,231
WEAPONS VIOLATION,224
THEFT,622
CRIMINAL DAMAGE,1914
THEFT,531
THEFT,1111
MOTOR VEHICLE THEFT,215
ASSAULT,323
BATTERY,1413
NARCOTICS,1731
ASSAULT,726
BATTERY,1532
CRIMINAL DAMAGE,232
OTHER OFFENSE,614
MOTOR VEHICLE THEFT,2512
DECEPTIVE PRACTICE,912
ROBBERY,715
ROBBERY,914
THEFT,1832
DECEPTIVE PRACTICE,121
ASSAULT,1512
THEFT,914
THEFT,112
BATTERY,111
BATTERY,1723
DECEPTIVE PRACTICE,2433
MOTOR VEHICLE THEFT,632
CRIMINAL DAMAGE,321
DECEPTIVE PRACTICE,1411
OTHER OFFENSE,1034
STALKING,131
OTHER OFFENSE,1032
DECEPTIVE PRACTICE,813
THEFT,1935
THEFT,1212
CRIMINAL DAMAGE,2432
THEFT,2431
BURGLARY,1231
DECEPTIVE PRACTICE,1934
MOTOR VEHICLE THEFT,622
OTHER OFFENSE,812
DECEPTIVE PRACTICE,223
THEFT,332
SEX OFFENSE,823
DECEPTIVE PRACTICE,1135
OTHER OFFENSE,2412
CRIMINAL DAMAGE,133
CRIMINAL DAMAGE,1112
CRIMINAL TRESPASS,212
BURGLARY,632
BATTERY,2413
BATTERY,2413
MOTOR VEHICLE THEFT,1834
MOTOR VEHICLE THEFT,1834
ASSAULT,423
OTHER OFFENSE,1834
BATTERY,1623
DECEPTIVE PRACTICE,813
ROBBERY,1831
ASSAULT,433
ROBBERY,1831
ASSAULT,634
THEFT,121
CRIMINAL SEXUAL ASSAULT,2223
MOTOR VEHICLE THEFT,1923
DECEPTIVE PRACTICE,811
DECEPTIVE PRACTICE,2513
BATTERY,2432
CRIMINAL DAMAGE,133
MOTOR VEHICLE THEFT,621
DECEPTIVE PRACTICE,2432
OTHER OFFENSE,2523
OTHER OFFENSE,2523
BATTERY,1012
OTHER OFFENSE,213
WEAPONS VIOLATION,423
OTHER OFFENSE,1722
THEFT,1712
BATTERY,931
THEFT,914
THEFT,1522
THEFT,613
ASSAULT,2523
ASSAULT,233
BATTERY,2422
BATTERY,722
THEFT,111
THEFT,221
OTHER OFFENSE,2232
CRIMINAL SEXUAL ASSAULT,1723
OTHER OFFENSE,531
MOTOR VEHICLE THEFT,1231
THEFT,1932
BATTERY,934
THEFT,632
THEFT,2432
BATTERY,1022
SEX OFFENSE,2534
ASSAULT,1511
CRIMINAL DAMAGE,931
THEFT,1834
ROBBERY,924
